vocabulary_id,concept_id,lang_code,word,article,gender,pronunciation,part_of_speech,concept_type,domain,sub_domain,micro_category,definition,frequency,image_id,example_sentence,example_sentence_pronunciation
95,1,sd,هجڻ,,,hujaṇu,verb,action,Universal Verbs,Existence,Existence & state verbs,موجود هجڻ يا ڪنهن حالت ۾ هجڻ,Very high,Img_1,مان ڊاڪٽر ٿيڻ چاهيان ٿو.,mān ḍākṭaru thīṇa cāhiyān thō.
96,1,si,වීමට,,,vīmaṭa,verb,action,Universal Verbs,Existence,Existence & state verbs,පැවතීම හෝ තත්වයක් තිබීම,Very high,Img_1,මට වෛද්‍යවරයෙකු වීමට අවශ්‍යයි.,maṭa vaidyavarayeku vīmaṭa avaśyayi.
97,1,sk,byť,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,existovať alebo mať nejaký stav,Very high,Img_1,Chcem byť lekárom.,
98,1,sl,biti,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,obstajati ali imeti stanje,Very high,Img_1,Želim biti zdravnik.,
99,1,so,noqosho,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,in la jiro ama la lahaado xaalad,Very high,Img_1,Waxaan rabaa inaan dhakhtar noqdo.,
100,1,es-MX,ser,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,existir o tener un estado,Very high,Img_1,Quiero ser doctor.,
101,1,es-ES,ser,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,existir o tener un estado,Very high,Img_1,Quiero ser médico.,
102,1,su,jadi,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,aya atawa boga kaayaan,Very high,Img_1,Kuring hayang jadi dokter.,
103,1,sw,kuwa,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,kuwepo au kuwa na hali,Very high,Img_1,Ninataka kuwa daktari.,
104,1,sv,vara,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,att existera eller ha ett tillstånd,Very high,Img_1,Jag vill vara läkare.,
105,1,tg,будан,,,budan,verb,action,Universal Verbs,Existence,Existence & state verbs,вуҷуд доштан ё дар ҳолате будан,Very high,Img_1,Ман мехоҳам табиб бошам.,Man mekhoham tabib bosham.
106,1,ta,இரு,,,iru,verb,action,Universal Verbs,Existence,Existence & state verbs,இருத்தல் அல்லது ஒரு நிலையில் இருத்தல்,Very high,Img_1,நான் ஒரு மருத்துவராக இருக்க விரும்புகிறேன்.,nāṉ oru maruttuvarāka irukka virumpukiṟēṉ.
107,1,tt,булу,,,bulu,verb,action,Universal Verbs,Existence,Existence & state verbs,яшәү яки берәр халәттә булу,Very high,Img_1,Минем табиб буласым килә.,Minem tabib bulasım kilä.
108,1,te,ఉండటం,,,uṇḍaṭaṃ,verb,action,Universal Verbs,Existence,Existence & state verbs,ఉనికిలో ఉండటం లేదా ఒక స్థితిని కలిగి ఉండటం,Very high,Img_1,నేను డాక్టర్ కావాలనుకుంటున్నాను.,nēnu ḍākṭar kāvālanukuṇṭunnānu.
109,1,th,เป็น,,,pen,verb,action,Universal Verbs,Existence,Existence & state verbs,มีอยู่หรือมีสถานะ,Very high,Img_1,ฉันอยากเป็นหมอ,chan yak pen mo.
110,1,ti,ምዃን,,,mikḫwani,verb,action,Universal Verbs,Existence,Existence & state verbs,ምህላው ወይ ሓደ ኩነታት ምህላው,Very high,Img_1,ሓኪም ክኸውን እየ ዝደሊ።,ḥakīmi kikḫewini iye zideli.
111,1,tr,olmak,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,var olmak veya bir durumda olmak,Very high,Img_1,Doktor olmak istiyorum.,
112,1,tk,bolmak,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,barlykda bolmak ýa-da bir ýagdaýda bolmak,Very high,Img_1,Men lukman bolmak isleýärin.,
113,1,uk,бути,,,buty,verb,action,Universal Verbs,Existence,Existence & state verbs,існувати або мати стан,Very high,Img_1,Я хочу бути лікарем.,Ya khochu buty likarem.
114,1,ur,ہونا,,,hōnā,verb,action,Universal Verbs,Existence,Existence & state verbs,وجود میں ہونا یا کوئی حالت ہونا,Very high,Img_1,میں ایک ڈاکٹر بننا چاہتا ہوں۔,maiṃ ēk ḍākṭar bannā cāhtā hūṃ.
115,1,ug,بولماق,,,bolmaq,verb,action,Universal Verbs,Existence,Existence & state verbs,مەۋجۇت بولۇش ياكى بىرەر ھالەتتە بولۇش,Very high,Img_1,مېنىڭ دوختۇر بولغۇم بار.,mëning doxtur bolghum bar.
116,1,uz,bo'lmoq,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,mavjud bo'lish yoki biror holatda bo'lish,Very high,Img_1,Men shifokor bo'lishni xohlayman.,
117,1,vi,là,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,tồn tại hoặc có một trạng thái,Very high,Img_1,Tôi muốn là một bác sĩ.,
118,1,cy,bod,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,bodoli neu fod mewn cyflwr,Very high,Img_1,Dw i eisiau bod yn feddyg.,
119,1,wo,nekk,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,am walla nekk ci weneen melokaan,Very high,Img_1,Dama bëgg a nekk fajkat.,
120,1,yo,jẹ́,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,láti wà tàbí láti wà ní ipò kan,Very high,Img_1,Mo fẹ́ jẹ́ dọ́kítà.,
121,1,zu,ukuba,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,ukubakhona noma isimo esithile,Very high,Img_1,Ngifuna ukuba ngudokotela.,
122,2,om,fi,,,,conjunction,function,Grammar Functions,Conjunctions,Coordinating conjunctions,jechoota ykn yaada walitti qabsiisuuf kan fayyadu,Very high,Img_2,Ani apilii fi muuzii nan bite.,
123,2,af,en,,,,conjunction,function,Grammar Functions,Conjunctions,Coordinating conjunctions,word gebruik om woorde of idees te verbind,Very high,Img_2,Ek het appels en piesangs gekoop.,
124,2,ak,ne,,,,conjunction,function,Grammar Functions,Conjunctions,Coordinating conjunctions,deɛ wɔde ka nsɛmfua anaa adwene bom,Very high,Img_2,Metɔɔ apol ne kwadu.,
125,2,sq,dhe,,,,conjunction,function,Grammar Functions,Conjunctions,Coordinating conjunctions,përdoret për të lidhur fjalë ose ide,Very high,Img_2,Unë bleva mollë dhe banane.,
126,2,am,እና,,,ina,conjunction,function,Grammar Functions,Conjunctions,Coordinating conjunctions,ቃላትን ወይም ሀሳቦችን ለማገናኘት ያገለግላል,Very high,Img_2,ፖም እና ሙዝ ገዛሁ።,pomi ina muzi gezahu
127,2,ar,و,,,wa,prefix,function,Grammar Functions,Conjunctions,Coordinating conjunctions,يُستخدم لربط الكلمات أو الأفكار,Very high,Img_2,اشتريت التفاح والموز.,ishtaraytu at-tuffāḥa wal-mawz.
128,2,hy,և,,,yev,conjunction,function,Grammar Functions,Conjunctions,Coordinating conjunctions,օգտագործվում է բառեր կամ գաղափարներ միացնելու համար,Very high,Img_2,Ես գնեցի խնձոր և բանան:,Yes gnets'i khndzor yev banan.
129,2,as,আৰু,,,aru,conjunction,function,Grammar Functions,Conjunctions,Coordinating conjunctions,শব্দ বা ধাৰণা সংযোগ কৰিবলৈ ব্যৱহাৰ কৰা হয়,Very high,Img_2,মই আপেল আৰু কল কিনিলোঁ।,môi apel aru kôl kinilü
130,2,az,və,,,,conjunction,function,Grammar Functions,Conjunctions,Coordinating conjunctions,sözləri və ya fikirləri birləşdirmək üçün istifadə olunur,Very high,Img_2,Mən alma və banan aldım.,
131,2,eu,eta,,,,conjunction,function,Grammar Functions,Conjunctions,Coordinating conjunctions,hitzak edo ideiak lotzeko erabiltzen da,Very high,Img_2,Sagarrak eta platanoak erosi nituen.,
132,2,be,і,,,i,conjunction,function,Grammar Functions,Conjunctions,Coordinating conjunctions,выкарыстоўваецца для злучэння слоў або ідэй,Very high,Img_2,Я купіў яблыкі і бананы.,Ya kupiw yablyki i banany.
133,2,bn,এবং,,,ebong,conjunction,function,Grammar Functions,Conjunctions,Coordinating conjunctions,শব্দ বা ধারণা যুক্ত করতে ব্যবহৃত হয়,Very high,Img_2,আমি আপেল এবং কলা কিনেছি।,ami apel ebong kola kinechi
134,2,bho,आ,,,ā,conjunction,function,Grammar Functions,Conjunctions,Coordinating conjunctions,शब्द भा बिचार जोड़े खातिर इस्तेमाल होला,Very high,Img_2,हम सेव आ केरा किननी।,hama sēva ā kērā kinanī.
135,2,bs,i,,,,conjunction,function,Grammar Functions,Conjunctions,Coordinating conjunctions,koristi se za povezivanje riječi ili ideja,Very high,Img_2,Kupio sam jabuke i banane.,
136,2,bg,и,,,i,conjunction,function,Grammar Functions,Conjunctions,Coordinating conjunctions,използва се за свързване на думи или идеи,Very high,Img_2,Купих ябълки и банани.,Kupih yabalki i banani.
137,2,my,နှင့်,,,hnint,conjunction,function,Grammar Functions,Conjunctions,Coordinating conjunctions,စကားလုံးများ သို့မဟုတ် အကြံဉာဏ်များကို ဆက်သွယ်ရန် အသုံးပြုသည်,Very high,Img_2,ကျွန်တော် ပန်းသီး နှင့် ငှက်ပျောသီး ဝယ်ခဲ့တယ်။,kyun taw pan thi hnint hnget pyaw thi wal hkae tal
138,2,yue,同埋,,,tung4 maai4,conjunction,function,Grammar Functions,Conjunctions,Coordinating conjunctions,用嚟連接字詞或者想法,Very high,Img_2,我買咗蘋果同埋香蕉。,ngo5 maai5 zo2 ping4 gwo2 tung4 maai4 hoeng1 ziu1.
139,2,ca,i,,,,conjunction,function,Grammar Functions,Conjunctions,Coordinating conjunctions,s'utilitza per connectar paraules o idees,Very high,Img_2,Vaig comprar pomes i plàtans.,
140,2,ceb,ug,,,,conjunction,function,Grammar Functions,Conjunctions,Coordinating conjunctions,gigamit sa pagsumpay sa mga pulong o ideya,Very high,Img_2,Mipalit ko og mga mansanas ug saging.,
