sentence_id,concept_id,concept_chapter,lang_code,level,category,sort_order,sentence,sentence_pronunciation,notes
92,1,greeting_basic,sr,A0,ca1,1,Здраво,zdravo,Основни поздрав.
93,1,greeting_basic,st,A0,ca1,1,Dumela,,Tumeliso ea motheo.
94,1,greeting_basic,sn,A0,ca1,1,Mhoro,,Kwaziso yekutanga.
95,1,greeting_basic,sd,A0,ca1,1,سلام,salām,بنيادي سلام.
96,1,greeting_basic,si,A0,ca1,1,හෙලෝ,helō,මූලික ආචාරය.
97,1,greeting_basic,sk,A0,ca1,1,Ahoj,,Základný pozdrav.
98,1,greeting_basic,sl,A0,ca1,1,Živjo,,Osnovni pozdrav.
99,1,greeting_basic,so,A0,ca1,1,Hay,,Salaan aasaasi ah.
100,1,greeting_basic,es-MX,A0,ca1,1,Hola,,Saludo básico.
101,1,greeting_basic,es-ES,A0,ca1,1,Hola,,Saludo básico.
102,1,greeting_basic,su,A0,ca1,1,Halo,,Sapaan dasar.
103,1,greeting_basic,sw,A0,ca1,1,Habari,,Salamu ya msingi.
104,1,greeting_basic,sv,A0,ca1,1,Hej,,Grundläggande hälsning.
105,1,greeting_basic,tg,A0,ca1,1,Салом,salom,Саломи асосӣ.
106,1,greeting_basic,ta,A0,ca1,1,வணக்கம்,vaṇakkam,அடிப்படை வாழ்த்து.
107,1,greeting_basic,tt,A0,ca1,1,Сәлам,sälam,Төп сәламләү.
108,1,greeting_basic,te,A0,ca1,1,నమస్కారం,namaskāraṁ,ప్రాథమిక అభివాదం.
109,1,greeting_basic,th,A0,ca1,1,สวัสดี,sa-wat-di,คำทักทายพื้นฐาน.
110,1,greeting_basic,ti,A0,ca1,1,ሰላም,selam,መሰረታዊ ሰላምታ።
111,1,greeting_basic,tr,A0,ca1,1,Merhaba,,Temel selamlama.
112,1,greeting_basic,tk,A0,ca1,1,Salam,,Esasy salamlaşma.
113,1,greeting_basic,uk,A0,ca1,1,Привіт,pryvit,Основне привітання.
114,1,greeting_basic,ur,A0,ca1,1,ہیلو,hēlō,بنیادی سلام۔
115,1,greeting_basic,ug,A0,ca1,1,ياخشىمۇسىز,yaxshimusiz,ئاساسىي سالام.
116,1,greeting_basic,uz,A0,ca1,1,Salom,,Asosiy salomlashish.
117,1,greeting_basic,vi,A0,ca1,1,Xin chào,,Lời chào cơ bản.
118,1,greeting_basic,cy,A0,ca1,1,Helo,,Cyfarchiad sylfaenol.
119,1,greeting_basic,wo,A0,ca1,1,Salaamaleikum,,Nuyyoo bu am solo.
120,1,greeting_basic,yo,A0,ca1,1,Pẹlẹ o,,Ikini ipilẹ.
121,1,greeting_basic,zu,A0,ca1,1,Sawubona,,Isibingelelo esiyisisekelo.
122,2,greeting_basic,om,A0,ca1,2,Hayee,,Nagaa salphaa.
123,2,greeting_basic,af,A0,ca1,2,Haai,,Informele basiese groet.
124,2,greeting_basic,ak,A0,ca1,2,Hei,,Nkyia a ɛnyɛ den.
125,2,greeting_basic,sq,A0,ca1,2,Çkemi,,Përshëndetje bazë e rastësishme.
126,2,greeting_basic,am,A0,ca1,2,ሃይ,hay,መደበኛ ያልሆነ መሰረታዊ ሰላምታ።
127,2,greeting_basic,ar,A0,ca1,2,أهلاً,ahlan,تحية أساسية غير رسمية.
128,2,greeting_basic,hy,A0,ca1,2,Ողջույն,voghjuyn,Անպաշտոն հիմնական ողջույն:
129,2,greeting_basic,as,A0,ca1,2,হাই,hai,সাধাৰণ অনানুষ্ঠানিক সম্ভাষণ।
130,2,greeting_basic,az,A0,ca1,2,Salam,,Qeyri-rəsmi əsas salamlaşma.
131,2,greeting_basic,eu,A0,ca1,2,Aupa,,Oinarrizko agur informala.
132,2,greeting_basic,be,A0,ca1,2,Прывіт,pryvit,Нефармальнае базавае прывітанне.
133,2,greeting_basic,bn,A0,ca1,2,হাই,hāi,অনানুষ্ঠানিক সাধারণ সম্ভাষণ।
134,2,greeting_basic,bho,A0,ca1,2,हेलो,hēlō,अनौपचारिक मूल अभिवादन।
135,2,greeting_basic,bs,A0,ca1,2,Ćao,,Ležeran osnovni pozdrav.
136,2,greeting_basic,bg,A0,ca1,2,Здрасти,zdrasti,Неформален основен поздрав.
137,2,greeting_basic,my,A0,ca1,2,ဟိုင်း,hain,အလွတ်သဘော အခြေခံနှုတ်ခွန်းဆက်စကား။
138,2,greeting_basic,yue,A0,ca1,2,嗨,hai1,隨便嘅基本問候。
139,2,greeting_basic,ca,A0,ca1,2,Ei,,Salutació bàsica informal.
140,2,greeting_basic,ceb,A0,ca1,2,Hay,,Kaswal nga batakang pangomusta.
141,2,greeting_basic,ny,A0,ca1,2,Shapu,,Moni wamba wamba.
142,2,greeting_basic,zh-CN,A0,ca1,2,嗨,hāi,随意的基本问候。
143,2,greeting_basic,zh-TW,A0,ca1,2,嗨,hāi,隨意的基本問候。
144,2,greeting_basic,hr,A0,ca1,2,Bok,,Neformalni osnovni pozdrav.
145,2,greeting_basic,cs,A0,ca1,2,Čau,,Neformální základní pozdrav.
146,2,greeting_basic,da,A0,ca1,2,Hej,,Uformel grundlæggende hilsen.
147,2,greeting_basic,nl,A0,ca1,2,Hoi,,Informele basisgroet.
148,2,greeting_basic,en-GB,A0,ca1,2,Hi,,Casual basic greeting.
149,2,greeting_basic,en-US,A0,ca1,2,Hi,,Casual basic greeting.
150,2,greeting_basic,et,A0,ca1,2,Tsau,,Juhuslik põhitervitus.
151,2,greeting_basic,fil,A0,ca1,2,Hay,,Kaswal na batayang pagbati.
152,2,greeting_basic,fi,A0,ca1,2,Moi,,Rento perustervehdys.
153,2,greeting_basic,fr,A0,ca1,2,Salut,,Salutation de base décontractée.
154,2,greeting_basic,fr-CA,A0,ca1,2,Salut,,Salutation de base décontractée.
155,2,greeting_basic,ff,A0,ca1,2,Ei,,Salminandu ndu sariyaaha.
156,2,greeting_basic,gl,A0,ca1,2,Ei,,Saúdo básico informal.
157,2,greeting_basic,ka,A0,ca1,2,ჰეი,hei,არაფორმალური ძირითადი მისალმება.
158,2,greeting_basic,de,A0,ca1,2,Hi,,Lockere grundlegende Begrüßung.
159,2,greeting_basic,el,A0,ca1,2,Γεια,ya,Χαλαρός βασικός χαιρετισμός.
160,2,greeting_basic,gn,A0,ca1,2,Maitei,,Maitei sapy'agua.
161,2,greeting_basic,gu,A0,ca1,2,હાય,hāya,અનૌપચારિક મૂળભૂત અભિવાદન.
162,2,greeting_basic,ht,A0,ca1,2,Salut,,Bonjou aksidantèl debaz.
163,2,greeting_basic,ha,A0,ca1,2,Sannu,,Gaisuwa ta yau da kullun.
164,2,greeting_basic,he,A0,ca1,2,היי,hay,ברכה בסיסית יומיומית.
165,2,greeting_basic,hi,A0,ca1,2,हाय,hāy,अनौपचारिक मूल अभिवादन।
166,2,greeting_basic,hmn,A0,ca1,2,Nyob zoo,,Kev kais txais dog dig.
167,2,greeting_basic,hu,A0,ca1,2,Szia,,Laza alapvető köszönés.
168,2,greeting_basic,is,A0,ca1,2,Hæ,,Óformleg grunnkveðja.
169,2,greeting_basic,ig,A0,ca1,2,Kedu,,Ekele nkịtị.
170,2,greeting_basic,id,A0,ca1,2,Hai,,Sapaan dasar kasual.
171,2,greeting_basic,ga,A0,ca1,2,Haigh,,Beannacht bhunúsach neamhfhoirmiúil.
172,2,greeting_basic,xh,A0,ca1,2,Hayi,,Umbuliso oqhelekileyo osisiseko.
173,2,greeting_basic,it,A0,ca1,2,Ciao,,Saluto di base informale.
174,2,greeting_basic,ja,A0,ca1,2,やあ,yaa,カジュアルな基本的な挨拶。
175,2,greeting_basic,jv,A0,ca1,2,Hai,,Salam dhasar santai.
176,2,greeting_basic,kn,A0,ca1,2,ಹಾಯ್,hāy,ಅನೌಪಚಾರಿಕ ಮೂಲ ಶುಭಾಶಯ.
177,2,greeting_basic,ks,A0,ca1,2,ہے,hay,عام بُنیٲدی سلام۔
178,2,greeting_basic,kk,A0,ca1,2,Сәлем,sälem,Күнделікті негізгі сәлемдесу.
179,2,greeting_basic,km,A0,ca1,2,សួស្តី,suostei,ការស្វាគមន៍មូលដ្ឋានក្រៅផ្លូវការ។
180,2,greeting_basic,rw,A0,ca1,2,Bite,,Indamutso y'ibanze isanzwe.
181,2,greeting_basic,ko,A0,ca1,2,안녕,annyeong,가벼운 기본 인사말.
182,2,greeting_basic,ku,A0,ca1,2,Silav,,Silava bingehîn a rojane.
183,2,greeting_basic,ky,A0,ca1,2,Привет,privet,Күнүмдүк негизги саламдашуу.
184,2,greeting_basic,lo,A0,ca1,2,ຫວັດດີ,wat di,ການທັກທາຍພື້ນຖານແບບບໍ່ເປັນທາງການ.
185,2,greeting_basic,lv,A0,ca1,2,Čau,,Neformāls pamata sveiciens.
186,2,greeting_basic,ln,A0,ca1,2,Mbote,,Mbote ya malamu.
187,2,greeting_basic,lt,A0,ca1,2,Labas,,Kasdienis pagrindinis pasisveikinimas.
188,2,greeting_basic,lg,A0,ca1,2,Ki kati,,Okulamusa okwabulijjo.
189,2,greeting_basic,lb,A0,ca1,2,Salut,,Lëschteg Grondleeënd Begréissung.
190,2,greeting_basic,mk,A0,ca1,2,Здрасти,zdrasti,Лежерен основен поздрав.
191,2,greeting_basic,mad,A0,ca1,2,Hai,,Salam dhasar biyasa.
192,2,greeting_basic,mg,A0,ca1,2,Hay,,Fiarahabana tsotra.
193,2,greeting_basic,ms,A0,ca1,2,Hai,,Sapaan asas kasual.
194,2,greeting_basic,ml,A0,ca1,2,ഹായ്,hāy,സാധാരണ അടിസ്ഥാന അഭിവാദ്യം.
195,2,greeting_basic,mt,A0,ca1,2,Ħaj,,Tislima bażika każwali.
196,2,greeting_basic,mr,A0,ca1,2,हाय,hāya,अनौपचारिक मूलभूत अभिवादन.
197,2,greeting_basic,mi,A0,ca1,2,Kia ora,,Mihi māmā taketake.
198,2,greeting_basic,mn,A0,ca1,2,Сайн уу,sain uu,Энгийн үндсэн мэндчилгээ.
199,2,greeting_basic,ne,A0,ca1,2,हाई,hāī,अनौपचारिक आधारभूत अभिवादन।
200,2,greeting_basic,pcm,A0,ca1,2,How far,,Casual greeting.
201,2,greeting_basic,nb-NO,A0,ca1,2,Hei,,Uformell grunnleggende hilsen.
202,2,greeting_basic,or,A0,ca1,2,ହାଇ,hāi,ସାଧାରଣ ମୌଳିକ ଅଭିବାଦନ।
203,2,greeting_basic,ps,A0,ca1,2,سلام,salām,غیر رسمي بنسټیز سلام.
204,2,greeting_basic,fa,A0,ca1,2,سلام,salām,احوالپرسی اولیه غیررسمی.
205,2,greeting_basic,pl,A0,ca1,2,Hej,,Swobodne podstawowe powitanie.
206,2,greeting_basic,pt-BR,A0,ca1,2,Oi,,Saudação básica casual.
207,2,greeting_basic,pt-PT,A0,ca1,2,Oi,,Saudação básica casual.
208,2,greeting_basic,pa,A0,ca1,2,ਹੈਲੋ,hailō,ਆਮ ਮੂਲ ਸਵਾਗਤ।
209,2,greeting_basic,qu,A0,ca1,2,Alillanchu,,Sapsi napaykuylla.
210,2,greeting_basic,ro,A0,ca1,2,Salut,,Salut de bază informal.
211,2,greeting_basic,ru,A0,ca1,2,Привет,privet,Непринужденное основное приветствие.
212,2,greeting_basic,skr,A0,ca1,2,ہائے,hā'ē,غیر رسمی بنیادی سلام۔
213,2,greeting_basic,sr,A0,ca1,2,Ћао,ćao,Опуштени основни поздрав.
214,2,greeting_basic,st,A0,ca1,2,Helele,,Tumeliso e tloaelehileng.
215,2,greeting_basic,sn,A0,ca1,2,Hesi,,Kwaziso yamazuva ose.
216,2,greeting_basic,sd,A0,ca1,2,هاءِ,hā'i,غير رسمي بنيادي سلام.
217,2,greeting_basic,si,A0,ca1,2,හායි,hāyi,සාමාන්‍ය මූලික ආචාරය.
218,2,greeting_basic,sk,A0,ca1,2,Čau,,Neformálny základný pozdrav.
219,2,greeting_basic,sl,A0,ca1,2,Živjo,,Sproščen osnovni pozdrav.
220,2,greeting_basic,so,A0,ca1,2,Hay,,Salaan caadi ah.
221,2,greeting_basic,es-MX,A0,ca1,2,Hola,,Saludo básico casual.
222,2,greeting_basic,es-ES,A0,ca1,2,Hola,,Saludo básico casual.
223,2,greeting_basic,su,A0,ca1,2,Hai,,Sapaan dasar santé.
224,2,greeting_basic,sw,A0,ca1,2,Mambo,,Salamu ya kawaida ya msingi.
225,2,greeting_basic,sv,A0,ca1,2,Hej,,Avslappnad grundläggande hälsning.
226,2,greeting_basic,tg,A0,ca1,2,Салом,salom,Саломи оддии ғайрирасмӣ.
227,2,greeting_basic,ta,A0,ca1,2,ஹாய்,hāy,சாதாரண அடிப்படை வாழ்த்து.
228,2,greeting_basic,tt,A0,ca1,2,Сәлам,sälam,Очраклы төп сәламләү.
229,2,greeting_basic,te,A0,ca1,2,హాయ్,hāy,సాధారణ ప్రాథమిక అభివాదం.
230,2,greeting_basic,th,A0,ca1,2,หวัดดี,wat-di,คำทักทายพื้นฐานแบบไม่เป็นทางการ.
231,2,greeting_basic,ti,A0,ca1,2,ሃይ,hay,ዘይወግዓዊ መሰረታዊ ሰላምታ።
232,2,greeting_basic,tr,A0,ca1,2,Selam,,Gündelik temel selamlama.
233,2,greeting_basic,tk,A0,ca1,2,Salam,,Gündelik esasy salamlaşma.
234,2,greeting_basic,uk,A0,ca1,2,Привіт,pryvit,Невимушене основне привітання.
235,2,greeting_basic,ur,A0,ca1,2,ہائے,hā'ē,غیر رسمی بنیادی سلام۔
236,2,greeting_basic,ug,A0,ca1,2,ئەسسالام,essalam,ئادەتتىكى ئاساسىي سالام.
237,2,greeting_basic,uz,A0,ca1,2,Salom,,Oddiy asosiy salomlashish.
238,2,greeting_basic,vi,A0,ca1,2,Chào,,Lời chào cơ bản thông thường.
239,2,greeting_basic,cy,A0,ca1,2,Helo,,Cyfarchiad sylfaenol achlysurol.
240,2,greeting_basic,wo,A0,ca1,2,Nuyu na la,,Nuyyoo bu yomb.
241,2,greeting_basic,yo,A0,ca1,2,Bawo,,Ikini ipilẹ lasan.
242,2,greeting_basic,zu,A0,ca1,2,Sawubona,,Isibingelelo esivamile.
243,3,greeting_basic,om,A0,ca1,3,Akkam bultan,,Nagaa ganamaa.
244,3,greeting_basic,af,A0,ca1,3,Goeiemôre,,Groet wat in die oggend gebruik word.
245,3,greeting_basic,ak,A0,ca1,3,Mema wo akye,,Nkyia a yɛde kyea anɔpa.
246,3,greeting_basic,sq,A0,ca1,3,Mirëmëngjes,,Përshëndetje e përdorur në mëngjes.
247,3,greeting_basic,am,A0,ca1,3,እንደምን አደሩ,indemin aderu,በጠዋት የሚያገለግል ሰላምታ።
248,3,greeting_basic,ar,A0,ca1,3,صباح الخير,sabah al-khayr,تحية تستخدم في الصباح.
249,3,greeting_basic,hy,A0,ca1,3,Բարի լույս,bari luys,Առավոտյան օգտագործվող ողջույն:
250,3,greeting_basic,as,A0,ca1,3,সুপ্ৰভাত,xuprobhat,ৰাতিপুৱা ব্যৱহাৰ কৰা সম্ভাষণ।
251,3,greeting_basic,az,A0,ca1,3,Sabahınız xeyir,,Səhər istifadə edilən salamlaşma.
252,3,greeting_basic,eu,A0,ca1,3,Egun on,,Goizean erabiltzen den agurra.
253,3,greeting_basic,be,A0,ca1,3,Добрай раніцы,dobray ranicy,Прывітанне, якое выкарыстоўваецца раніцай.
254,3,greeting_basic,bn,A0,ca1,3,সুপ্রভাত,shuprobhat,সকালে ব্যবহৃত সম্ভাষণ।
255,3,greeting_basic,bho,A0,ca1,3,शुभ सवेर,śubh savēr,सबेरे इस्तेमाल होखे वाला अभिवादन।
256,3,greeting_basic,bs,A0,ca1,3,Dobro jutro,,Pozdrav koji se koristi ujutro.
257,3,greeting_basic,bg,A0,ca1,3,Добро утро,dobro utro,Поздрав, използван сутрин.
258,3,greeting_basic,my,A0,ca1,3,မင်္ဂလာနံနက်ခင်းပါ,min-ga-la nan-net-khin-ba,နံနက်ပိုင်းတွင် အသုံးပြုသော နှုတ်ခွန်းဆက်စကား။
259,3,greeting_basic,yue,A0,ca1,3,早晨,zou2 san4,喺朝早用嘅問候語。
260,3,greeting_basic,ca,A0,ca1,3,Bon dia,,Salutació que s'utilitza al matí.
261,3,greeting_basic,ceb,A0,ca1,3,Maayong buntag,,Pagbati nga gigamit sa buntag.
262,3,greeting_basic,ny,A0,ca1,3,Mwadzuka bwanji,,Moni wogwiritsidwa ntchito m'mawa.
263,3,greeting_basic,zh-CN,A0,ca1,3,早上好,zǎo shang hǎo,早上使用的问候语。
264,3,greeting_basic,zh-TW,A0,ca1,3,早上好,zǎo shang hǎo,早上使用的問候語。
265,3,greeting_basic,hr,A0,ca1,3,Dobro jutro,,Pozdrav koji se koristi ujutro.
266,3,greeting_basic,cs,A0,ca1,3,Dobré ráno,,Pozdrav používaný ráno.
267,3,greeting_basic,da,A0,ca1,3,Godmorgen,,Hilsen der bruges om morgenen.
268,3,greeting_basic,nl,A0,ca1,3,Goedemorgen,,Groet die in de ochtend wordt gebruikt.
269,3,greeting_basic,en-GB,A0,ca1,3,Good morning,,Greeting used in the morning.
270,3,greeting_basic,en-US,A0,ca1,3,Good morning,,Greeting used in the morning.
271,3,greeting_basic,et,A0,ca1,3,Tere hommikust,,Hommikul kasutatav tervitus.
272,3,greeting_basic,fil,A0,ca1,3,Magandang umaga,,Pagbati na ginagamit sa umaga.
273,3,greeting_basic,fi,A0,ca1,3,Hyvää huomenta,,Aamulla käytettävä tervehdys.
274,3,greeting_basic,fr,A0,ca1,3,Bonjour,,Salutation utilisée le matin.
275,3,greeting_basic,fr-CA,A0,ca1,3,Bon matin,,Salutation utilisée le matin.
276,3,greeting_basic,ff,A0,ca1,3,Jaam waali,,Salminandu subaka.
277,3,greeting_basic,gl,A0,ca1,3,Bos días,,Saúdo usado pola mañá.
278,3,greeting_basic,ka,A0,ca1,3,დილა მშვიდობისა,dila mshvidobisa,დილით გამოყენებული მისალმება.
279,3,greeting_basic,de,A0,ca1,3,Guten Morgen,,Begrüßung die am Morgen verwendet wird.
280,3,greeting_basic,el,A0,ca1,3,Καλημέρα,kalimera,Χαιρετισμός που χρησιμοποιείται το πρωί.
281,3,greeting_basic,gn,A0,ca1,3,Mba'éichapa ne ko'ẽ,,Maitei ojepurúva pyharevete.
282,3,greeting_basic,gu,A0,ca1,3,સુપ્રભાત,suprabhāt,સવારે વપરાતું અભિવાદન.
283,3,greeting_basic,ht,A0,ca1,3,Bonjou,,Bonjou yo itilize nan maten.
284,3,greeting_basic,ha,A0,ca1,3,Ina kwana,,Gaisuwa da ake amfani da ita da safe.
285,3,greeting_basic,he,A0,ca1,3,בוקר טוב,boker tov,ברכה המשמשת בבוקר.
286,3,greeting_basic,hi,A0,ca1,3,सुप्रभात,suprabhāt,सुबह इस्तेमाल किया जाने वाला अभिवादन।
287,3,greeting_basic,hmn,A0,ca1,3,Nyob zoo sawv ntxov,,Kev kais txais siv thaum sawv ntxov.
288,3,greeting_basic,hu,A0,ca1,3,Jó reggelt,,Reggel használt köszönés.
289,3,greeting_basic,is,A0,ca1,3,Góðan daginn,,Kveðja notuð á morgnana.
290,3,greeting_basic,ig,A0,ca1,3,Ụtụtụ ọma,,Ekele a na-eji n'ụtụtụ.
291,3,greeting_basic,id,A0,ca1,3,Selamat pagi,,Sapaan yang digunakan di pagi hari.
292,3,greeting_basic,ga,A0,ca1,3,Maidin mhaith,,Beannacht a úsáidtear ar maidin.
293,3,greeting_basic,xh,A0,ca1,3,Molo,,Umbuliso osetyenziswa kusasa.
294,3,greeting_basic,it,A0,ca1,3,Buongiorno,,Saluto usato al mattino.
295,3,greeting_basic,ja,A0,ca1,3,おはようございます,ohayou gozaimasu,朝に使われる挨拶。
296,3,greeting_basic,jv,A0,ca1,3,Sugeng enjing,,Salam sing digunakake ing wayah esuk.
